            precision  recall   f1-score
A                  1.0    1.0      1.0
B                  1.0    1.0      1.0
C                  1.0    1.0      1.0
D                  1.0    1.0      1.0
Delete             1.0    1.0      1.0
E                  1.0    1.0      1.0
F                  1.0    1.0      1.0
G                  1.0    1.0      1.0
H                  1.0    1.0      1.0
I                  1.0    1.0      1.0
J                  1.0    1.0      1.0
K                  1.0    1.0      1.0
L                  1.0    1.0      1.0
M                  1.0    1.0      1.0
N                  1.0    1.0      1.0
O                  1.0    1.0      1.0
P                  1.0    1.0      1.0
Q                  1.0    1.0      1.0
R                  1.0    1.0      1.0
S                  1.0    1.0      1.0
Space              1.0    1.0      1.0
T                  1.0    1.0      1.0
U                  1.0    1.0      1.0
V                  1.0    1.0      1.0
W                  1.0    1.0      1.0
X                  1.0    1.0      1.0
Y                  1.0    1.0      1.0
Z                  1.0    1.0      1.0

accuracy           1.0    1.0      1.0
macro avg          1.0    1.0      1.0
weighted avg       1.0    1.0      1.0
